因子家族,外部证据摘要,当前本地覆盖,免费且平台无关的最小输入,当前决定,下一证据关,来源
价格与近期收益,"2025 年机器学习论文的 13 类模型均把转债价格与收益列为最重要预测变量",价格、双低历史位置、5/20/60 日收益和波动已覆盖,"转债开高低收、交易日",已覆盖且 F02-252 晋级,不扩张更多相邻窗口；只审查 252 日机制与证据外稳定性,https://www.sciencedirect.com/science/article/pii/S1386418125000503
转股溢价率/双低/YTM,"机器学习论文把双低、转股溢价率与 YTM 列为第二重要组；国泰海通报告亦列为成熟估值因子",已完成双低、溢价和免费 YTM；双低基线有效但近期弱；YTM 防守强于进攻,"转债/正股价格、历史转股价、票息与到期现金流",已覆盖,只保留已冻结职责；不因外部论文重复造同义因子,https://www.sciencedirect.com/science/article/pii/S1386418125000503
正股收益/动量,"机器学习论文把正股收益列为第三重要组；国泰海通报告称正股 60 日动量较好",已完成正股日线、20 日收益和 G；G 高度邻近正股动量且执行级失败,"正股复权日线、转债日线",保留因子线索但不恢复 G 骨架,只有新的组合能证明相对 F02 的增量且不加剧小盘同质性才重开,https://www.sciencedirect.com/science/article/pii/S1386418125000503
价量冲击/流动性风险,"国泰海通以过去 5/20/60 日涨跌幅绝对值相对成交额衡量价格弹性并报告高流动性风险组存在溢价",此前只用 20 日 ADV 做容量/过滤压力，尚未把价量冲击作为收益排名,"转债日收益、成交额；缺少原始金额时可先用成交量×收盘价做方向级近似",保留为最优先的遗漏免费因子,同时检验 5/20/60 日且不从中挑最好窗口；先做方向诊断再决定是否进执行级,https://www.fxbaogao.com/detail/5190135
转债—正股 60 日相关/敏感度,"国泰海通把 60 日相关与转债对正股敏感度列为股性因子，称敏感度偏进攻且难控回撤",已有同步日线和组合暴露诊断，但未作为横截面收益排名,"转债与正股同步日收益",保留为受控进攻挑战,必须同时战胜 G、报告下跌捕获并通过与小市值差异关；否则只作暴露,https://www.fxbaogao.com/detail/5190135
平价条件化估值偏离,"国泰海通以实际转股溢价率相对基于平价拟合的理论溢价率定义估值偏离，并报告跨周期与中性化后较稳健",当前只记录理论偏离/修正溢价，尚无冻结拟合公式,"每日平价、转股溢价率、横截面证券域",保留为 RG1 之前的半复杂挑战,先取得原报告公式/拟合形式并冻结样本外合同；禁止看结果后选择曲线,https://www.fxbaogao.com/detail/5190135
兴业反比例修正溢价残差,"公开文章明确平价70至130、余额至少2亿元、换手不高于40%及反比例曲线残差",本地已按统一执行合同复刻；低残差略有长期方向但被同域经典双低和F02主导,"平价、转股溢价率、余额、成交量",该公开版本降为解释指标,不搜索其他曲线；不外推到公式未披露的国泰海通版本,https://finance.sina.cn/2020-07-07/detail-iircuyvk2563815.d.html
隐含波动率,"国泰海通报告称隐含波动率跨周期和中性化后较稳健",原始条款与行情大体免费，债底、条款简化和反解模型未冻结,"行情、条款、债底、曲线与波动模型",保留为复杂可选增强且后置,只有简单估值偏离和免费候选通过后再证明净增量,https://www.fxbaogao.com/detail/5190135
历史波动率,"国泰海通将其定位为随周期变化的弹性因子",转债/正股波动已测；低波只适合作风险层，高波未通过独立收益关,"转债与正股日线",已覆盖且不恢复为独立策略,只在敏感度因子诊断中报告共线性,https://www.fxbaogao.com/detail/5190135
正股 PE/基本面,"国泰海通把正股 PE 列为正股相关因子；机器学习论文也纳入 20 个股票预测变量",免费估值/财务路径已盘点但未进入转债收益骨架,"正股点时 PE 与财报公告日字段",低优先级保留,只有能提升信用质量且不复制小市值股票暴露时才挑战,https://www.fxbaogao.com/detail/5190135
