表,行粒度,字段,类型,必填,冻结时点,规则或口径,缺失处理
manifest,每个信号日每个研究版本,protocol_version,文本,是,协议冻结时,固定为CB-SHADOW-20260720-v1,版本不明则整期无效
manifest,每个信号日每个研究版本,signal_date,日期,是,信号日收盘后,每月日历10日20日30日遇非交易日取其后首个交易日,不得事后改用前一交易日
manifest,每个信号日每个研究版本,snapshot_cutoff,时间戳含时区,是,抓取完成时,只接受信号日收盘后且下一交易日开盘前完成的快照,超时则整期无效且不回填榜单
manifest,每个信号日每个研究版本,source_manifest,文本或哈希,是,榜单生成前,列出每项免费来源版本抓取时间和原始文件哈希,无法复核则整期无效
manifest,每个信号日每个研究版本,data_status,枚举,是,榜单生成时,valid或invalid,invalid期只诊断数据链路不比较收益
manifest,每个信号日每个研究版本,invalid_reason,文本,条件必填,榜单生成时,字段缺失来源冲突风险状态未覆盖或快照超时等,invalid但原因缺失则记录不合格
manifest,每个信号日每个研究版本,candidate_ids,文本,是,协议冻结时,B0_BASE+C_BAL+C_OFF三条同时记录,不得只保留事后最好候选
manifest,每个信号日每个研究版本,eligible_universe_count,整数,是,排名前,共同安全域证券数,少于20只则三条策略均留现金并记异常
manifest,每个信号日每个研究版本,risk_state_version,文本,是,排名前,引用评级风险警示重整兑付退市和强赎状态快照版本,无法确认则相关证券排除并标记人工队列
universe,每个信号日每只转债,bond_code,六位文本,是,榜单生成前,证券主键并保存正股和发行人映射,映射冲突则该券无效
universe,每个信号日每只转债,bond_name,文本,是,榜单生成前,仅展示不作主键,缺失不改变排序但需修复
universe,每个信号日每只转债,stock_code,六位文本,是,榜单生成前,用于ST退市和小市值暴露核验,缺失则退出共同安全域
universe,每个信号日每只转债,close_full_price,数值,是,信号日收盘后,转债全价收盘且不重复加应计利息,缺失则不得排名
universe,每个信号日每只转债,conversion_premium_pct,数值,是,信号日收盘后,使用同日已生效转股价计算的百分数,缺失或转股价时点不明则不得排名
universe,每个信号日每只转债,double_low,数值,是,榜单生成前,close_full_price加conversion_premium_pct,任一输入缺失则不得排名
universe,每个信号日每只转债,double_low_z252,数值,条件必填,榜单生成前,含信号日在内252个有效交易日双低的总体标准差Z分数且min_periods等于252,不足252日不得进入C_BAL或C_OFF
universe,每个信号日每只转债,balance_bil,数值,条件必填,榜单生成前,最近已公开且已生效剩余面额亿元并纳入回售结果,缺失不得进入C_OFF
universe,每个信号日每只转债,contract_maturity,日期,是,排名前,原始合同到期日不得使用事后实际退市日,缺失则退出共同安全域
universe,每个信号日每只转债,remaining_days,整数,是,排名前,contract_maturity减signal_date至少365日,不足365日退出共同安全域
universe,每个信号日每只转债,call_status,枚举,是,排名前,已公告强赎为硬排除；机械进度只作诊断,状态不明则排除并进入人工队列
universe,每个信号日每只转债,credit_risk_state,枚举,是,排名前,评级风险警示重整兑付退市硬状态取并集且按市场公开时点生效,状态不明则排除并进入人工队列
universe,每个信号日每只转债,tradability_state,枚举,是,排名前,上市停牌成交和退市状态,无法确认则排除
universe,每个信号日每只转债,eligible_common,布尔,是,排名前,共同资格域结果,不得由任一候选单独放宽
universe,每个信号日每只转债,exclusion_reasons,文本列表,是,排名前,所有排除原因同时保存而非只存第一项,空值仅允许eligible_common为真
universe,每个信号日每只转债,b0_rank,数值,条件必填,榜单冻结时,共同域内按double_low升序并列用bond_code升序,合格券必须有排名
universe,每个信号日每只转债,c_bal_rank,数值,条件必填,榜单冻结时,共同域内按double_low_z252升序并列用bond_code升序,具备252日数据的合格券必须有排名
universe,每个信号日每只转债,c_off_score,数值,条件必填,榜单冻结时,double_low与double_low_z252与balance_bil三个横截面平均百分位之和且越低越优,三项任一缺失不得生成分数
universe,每个信号日每只转债,c_off_rank,数值,条件必填,榜单冻结时,按c_off_score升序并列用bond_code升序,具备三项数据的合格券必须有排名
universe,每个信号日每只转债,selected_flags,文本,是,榜单冻结时,B0_BASE或C_BAL或C_OFF的Top20标签可多选,不得在看到下一开盘后修改
