审计层,对象,公开日,转债代码,候选命中或覆盖,硬状态判断,更早状态或增量影响,结论,证据边界,来源
检索合同,巨潮全局全类别十一组关键词分年查询,2018-01-01至2026-07-20,,99个关键词年份分片全部成功且错误0,候选映射后764份公告和79个发行人,关键词覆盖重整破产清算无法及不能按期兑付延期兑付兑付风险回售款终止上市和低于面值,平台无关免费路径成立,全局窄词路径不能单独替代后续已完成的发行人级宽兑付差集,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
目录分布,重整,2018-01-01至2026-07-20,,431份候选相关公告,只把法院裁定受理发行人自身重整作为硬触发,投资他人重整及子公司股东或客户重整不排除发行人,标题必须结合对象语义裁决,申请预重整本身仅作软风险除非已有其他硬状态,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
目录分布,破产清算,2018-01-01至2026-07-20,,56份候选相关公告,只把发行人自身法院受理清算作为硬触发,子公司债务人或控股股东清算不机械传导,标题必须结合对象语义裁决,被申请但未受理不等于已经进入清算,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
目录分布,终止上市及低于面值,2018-01-01至2026-07-20,,225份终止上市和22份低于面值候选相关公告,发行人首次明确提示股票或转债可能终止上市时进入硬状态,主动吸收合并终止上市和已正常退出转债不按信用风险处理,目录需逐案裁决,证券对象和当时存续状态必须逐案确认,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
目录分布,明确兑付与回售风险,2018-01-01至2026-07-20,,30份候选相关关键词命中,只有无法或不能按期兑付及回售款无法支付是硬触发,普通兑付付息和触发回售条款不属于违约,本轮实际新增对象为岭南与龙大且均有直接发行人公告,仍需核对首次公开日并排除普通回售,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
法院受理发行人重整,正邦科技,2023-07-21,128114,硬触发后两候选原始命中0次,法院裁定受理公司重整,正股已于2023-05-05进入ST硬状态,不改变当前候选选择但保留为独立事件事实,采用公开公告日不采用内部裁定送达前日期,https://static.cninfo.com.cn/finalpage/2023-07-21/1217348496.PDF
法院受理发行人重整,全筑股份,2023-11-14,113578,硬触发后两候选原始命中0次,法院裁定受理公司重整,评级已于2022-12-31跌入BBB档且2023-04-29进入风险警示,不改变当前候选选择但保留为独立事件事实,申请预重整日不提前作为本轮硬触发,https://static.cninfo.com.cn/finalpage/2023-11-14/1218325952.PDF
法院受理发行人重整,花王股份,2024-09-10,113595,硬触发后两候选原始命中0次,法院裁定受理公司重整,正股风险警示自2021-04-30生效且评级2021-08-14跌入BBB档,不改变当前候选选择但保留为独立事件事实,控股股东及子公司重整公告不冒充发行人受理日,https://static.cninfo.com.cn/finalpage/2024-09-10/1221178223.PDF
法院受理发行人重整,傲农生物,2024-11-06,113620,硬触发后两候选原始命中0次,法院裁定受理公司重整,正股已于2024-04-30进入风险警示,不改变当前候选选择但保留为独立事件事实,预重整申请和进展只作软风险直到法院正式受理,https://static.cninfo.com.cn/finalpage/2024-11-06/1221637676.PDF
法院受理发行人重整,中装建设,2025-08-20,127033,硬触发后两候选原始命中0次,法院裁定受理公司重整,正股已于2024-02-27进入风险警示,不改变当前候选选择但保留为独立事件事实,同发行人早期已退出转债不因后发重整反写历史,https://static.cninfo.com.cn/finalpage/2025-08-20/1224520007.PDF
明确兑付风险,岭南股份,2024-08-07,128044,风险公开后两候选原始命中0次,发行人明确可能不能按期足额兑付本息,2024-06-22已有股票及转债可能终止上市公告更早构成硬状态,风险日期前移到2024-06-22且最终并集复算无新增换券,更早公告只在公开日后生效,https://static.cninfo.com.cn/finalpage/2024-08-07/1220807320.PDF
