审计层,变体或比较,期间或合同,观测数,策略年化百分比,同域年化百分比,事件超额或直接差百分比,近似日频回撤百分比,平均换手和,风险退出次数,Top20平均重合,事件收益相关,结论,证据边界
全样本主合同,F02-126,2018-07至2026-07下一开盘单边10bp,263,21.4515,12.3408,0.2499,-16.3725,0.9586,98,,,窗口边界,起点更早但换手和风险退出更高
全样本主合同,F02-252,2019-01至2026-07下一开盘单边10bp,246,25.6208,13.2166,0.3291,-15.1624,0.7289,78,,,研究冻结代表,不是正式策略参数或已证明的普适最优窗口
共同日期,F02-126,2019-01至2026-07下一开盘单边10bp,246,22.7701,12.8325,0.2697,,0.9915,98,10.6301,0.9418,共同样本对照,与252证券域历史完整性略有差异所以同域基准不完全相同
共同日期,F02-252,2019-01至2026-07下一开盘单边10bp,246,25.6208,13.2166,0.3291,-15.1624,0.7289,78,10.6301,0.9418,共同样本领先,相对126每事件直接多0.0688个百分点但胜率仅50%
共同日期直接差,252减126,2018至2020子段,65,,,-0.1806,,,,,,126领先,说明252并非所有时期占优
共同日期直接差,252减126,2021至2022子段,66,,,0.2402,,,,,,252领先,主要优势来自中间阶段
共同日期直接差,252减126,2023至2024子段,66,,,0.2151,,,,,,252领先,主要优势来自中间阶段
共同日期直接差,252减126,2025至2026子段,49,,,-0.0283,,,,,,126小幅领先,不能把252写成近期也严格主导
前一日历,F02-126,前一合法信号日单边10bp,288,21.7376,12.2625,0.2364,-16.6794,0.9406,102,,,通过但弱于252,相邻窗口日历敏感性
前一日历,F02-252,前一合法信号日单边10bp,269,24.4184,13.1729,0.2754,-15.4934,0.6985,83,,,通过,四阶段正超额
双倍成本,F02-126,下一开盘单边20bp,263,17.7016,12.3408,0.1540,-20.5845,0.9586,98,,,降级,相对同域仍正但相对B0事件增量只剩约0.015个百分点
双倍成本,F02-252,下一开盘单边20bp,246,22.6575,13.2166,0.2562,-15.4323,0.7289,78,,,通过,四阶段正超额且回撤没有明显恶化
选择偏差,参数家族,126日252日504日为事先相邻窗口组,,,,,,,,,,仍存在样本内选择,外部报告直接支持126日附近而非252日；504日失败；252只冻结为研究代表
外部机制,历史相对估值,双低6月Z与转股溢价率3月Z均有公开证据和本地正方向,,,,,,,,,,机制获得旁证,只支持历史相对便宜家族不证明252日参数唯一正确
最终闸门,未完成输入,果仁真净值历史点时信用风险状态原始成交额与可成交状态未来影子期,,,,,,,,,,不得转正式规则,原始成交额主要影响容量复核；真净值和信用状态影响组合职责与尾部风险
