diagnostic,variant,sample,events,mean_gross_excess,median_gross_excess,winsorized_5_95_mean_gross_excess,date_clustered_mean_gross_excess,positive_entry_date_share,mean_net_excess_10bp_each_way,judgment
事件阶段,预计触发后次日开盘持有5日_风险过滤域,2024-03至2026-07,1100,0.003264,0.000576,0.002163,0.002354,0.532500,0.001264,仅2024为正；2025至2026毛超额均为负
事件阶段,董事会提议后次日开盘持有20日_风险过滤域,2024-04至2026-06,239,0.020972,0.005765,0.013641,0.022828,0.553571,0.018972,主要由2024贡献；2025为负且2026样本仅31次
事件阶段,正式下修后次日开盘持有1日_风险过滤域,2024-04至2026-07,235,-0.000123,0.002056,0.001532,0.000422,0.569767,-0.002123,均值与成本后不通过即时冲击关
事件阶段,正式下修后次日开盘持有5日_风险过滤域,2024-04至2026-07,235,0.003283,0.001848,0.003646,0.003341,0.552326,0.001283,保留弱事件增强；2025扣成本后为负
事件阶段,正式下修后次日开盘持有20日_风险过滤域,2024-04至2026-06,223,-0.001818,0.000311,0.000124,-0.002232,0.503067,-0.003818,长期增量反转不适合延长持有
事件阶段,不下修后次日开盘持有5日_风险过滤域,2024-03至2026-07,1300,-0.001455,-0.002420,-0.002256,-0.001528,0.388889,-0.003455,负面状态候选不作做空收益因子
事件阶段,不下修后次日开盘持有20日_风险过滤域,2024-03至2026-06,1254,-0.003653,-0.004690,-0.004993,-0.003662,0.411471,-0.005653,负面状态延续但需精确承诺区间
公开作业样本外,天风提前博弈_默拒超时7日,2024-03至2026-07,1085,0.002117,-0.000411,,0.001354,0.506329,0.000117,总体由2024贡献；2025与2026均负
公开作业样本外,天风提前博弈_默拒超时10日,2024-03至2026-07,1086,0.002565,-0.000692,,0.001405,0.511335,0.000565,总体由2024贡献；2025与2026均负
公开作业样本外,天风提前博弈_默拒超时14日,2024-03至2026-07,1082,0.002794,-0.001032,,0.001561,0.501259,0.000794,总体由2024贡献；2025与2026均负
公开作业样本外,天风提前博弈_默拒超时21日,2024-03至2026-07,1072,0.002324,-0.001671,,0.001454,0.496222,0.000324,总体由2024贡献；2025与2026均负
报告强因子样本外,前次默拒_超时7日定义,2024-03至2026-07,235,0.002071,-0.001616,,0.001835,0.491429,0.000071,对默拒边界敏感
报告强因子样本外,前次默拒_超时10日定义,2024-03至2026-07,120,0.005481,-0.001923,,0.004644,0.489583,0.003481,仅该近邻口径较好且2025至2026扣成本后为负
报告强因子样本外,前次默拒_超时14日定义,2024-03至2026-07,73,-0.000748,-0.004388,,-0.000384,0.476190,-0.002748,边界改变即失效
报告强因子样本外,前次默拒_超时21日定义,2024-03至2026-07,42,-0.002683,-0.005501,,-0.003642,0.333333,-0.004683,边界改变即失效
下修深度,浅三分位_降幅不超过约18.4%,2024-04至2026-07,78,-0.002492,-0.002627,,,,,仅方向诊断不设正式阈值
下修深度,中三分位_降幅约18.4%至31.0%,2024-04至2026-07,77,0.006566,-0.000692,,,,,均值提高但中位仍负
下修深度,深三分位_降幅超过约31.0%,2024-04至2026-07,78,0.006391,0.009400,,,,,连续深度方向保留；样本切点禁止直接采用
